pid,smiles,tens_mod_clean
P432911,*C(=O)Nc9ccc(Oc1ccccc1c2ccccc2Oc8ccc(NC(=O)c7ccc6c(=O)n(c5ccc(Oc%10ccc(n4c(=O)c3ccc(*)cc3c4=O)cc%10)cc5)c(=O)c6c7)cc8)cc9,2.42
P432912,*C(=O)Nc9ccc(Oc8ccc(c7ccc(Oc6ccc(NC(=O)c5ccc4c(=O)n(c3ccc(Oc%10ccc(n2c(=O)c1ccc(*)cc1c2=O)cc%10)cc3)c(=O)c4c5)cc6)cc7)cc8)cc9,2.41
P070702,*Oc1ccc(C(=O)Nc2cc(SCCC#N)c(NC(=O)c3ccc(*)cc3)cc2SCCC#N)cc1,2.4
P432800,*n4c(=O)c3ccc(C(C(F)(F)F)(C(F)(F)F)c2ccc1c(=O)n(c9ccc(C(=O)Nc5ccc(Oc6ccccc6(Oc8ccc(NC(=O)c%10ccc(*)cc%10)cc8))cc5)cc9)c(=O)c1c2)cc3c4=O,2.4
P432799,*n4c(=O)c3ccc(C(C(F)(F)F)(C(F)(F)F)c2ccc1c(=O)n(c9ccc(C(=O)Nc5ccc(Oc6cccc(Oc8ccc(NC(=O)c%10ccc(*)cc%10)cc8)c6)cc5)cc9)c(=O)c1c2)cc3c4=O,2.4
P430375,*c%10cccc(C(=O)Nc9ccc(Oc6ccc(NC(=O)c5cccc(n4c(=O)c3ccc(C(C(F)(F)F)(C(F)(F)F)c2ccc1c(=O)n(*)c(=O)c1c2)cc3c4=O)c5)cc6)cc9)c%10,2.4
P432798,*n4c(=O)c3ccc(C(C(F)(F)F)(C(F)(F)F)c2ccc1c(=O)n(c9ccc(C(=O)Nc5ccc(Oc6ccc(Oc8ccc(NC(=O)c%10ccc(*)cc%10)cc8)cc6)cc5)cc9)c(=O)c1c2)cc3c4=O,2.4
P373712,*Oc5ccc(NC(=O)c6cc(C(=O)Nc%10ccc(*)cc%10)cc(NC(=O)C89CC7CC(CC(C7)C8)C9)c6)cc5,2.4
P432804,*n4c(=O)c3ccc(C(C(F)(F)F)(C(F)(F)F)c2ccc1c(=O)n(c9cc(C(=O)Nc5ccc(Oc6ccc(Oc8ccc(NC(=O)c%10cc(*)ccc%10)cc8)cc6)cc5)ccc9)c(=O)c1c2)cc3c4=O,2.4
P402233,*NC(=O)c1cc(C(=O)Nc2ccc(C(C(F)(F)F)(C(F)(F)F)c3ccc(*)cc3)cc2)cc(NC(=O)CCCn5c(=O)c4ccccc4c5=O)c1,2.4
P373666,*Oc1c(C#N)c(Oc2ccc(C(=O)Nc3ccc(Oc5ccc(NC(=O)c4ccc(*)cc4)cc5)cc3)cc2)ccc1,2.4
P372236,*OCCCCCCCCOc1ccc(C(=O)Nc2ccc(c3ccc(NC(=O)c4ccc(*)cc4)c(Cl)c3)cc2Cl)cc1,2.38
P074400,*Oc1ccc(Oc2ccc(NC(=O)c3ccc(Oc4ccc(Oc5ccc(C(=O)Nc6ccc(*)cc6)cc5)cc4C)cc3)cc2)cc1,2.35
P373492,*c1oc(c2ccc(Oc6cc(NC(=O)c3cc(C(=O)Nc4cc(Oc7ccc(*)cc7)ccc4)cc(NC(=O)c5ccc(OC(=O)C)cc5)c3)ccc6)cc2)nn1,2.34
