pid,smiles,dens_clean
P100718,*NC(=O)C(CCCCCCCCCCCC)C(=O)NCCCCCC*,0.998
P100719,*NC(=O)C(CCCCCCCCCCCCCCCCC)C(=O)NCCCCCC*,0.985
P100720,*NC(=O)C(CCCCCCC)C(=O)NCCCCCC*,1.021
P100721,*NC(=O)C(CCCCCCCCCCCCCCCC)C(=O)NCCCCCC*,0.99
P100722,*NC(=O)C(CCCCCC)C(=O)NCCCCCC*,1.026
P100723,*NC(=O)C(CCCCCCCCC)C(=O)NCCCCCC*,1.008
P100724,*NC(=O)C(CCCCCCCCCCCCCCCCCC)C(=O)NCCCCCC*,0.975
P100725,*NC(=O)C(CCCCCCCC)C(=O)NCCCCCC*,1.02
P100726,*NC(=O)C(CCCCCCCCCCCCCCC)C(=O)NCCCCCC*,0.995
P100727,*NC(=O)C(CCCCC)C(=O)NCCCCCC*,1.039
P100728,*NC(=O)C(CCC)C(=O)NCCCCCC*,1.061
P100729,*NC(=O)C(CCCCCCCCCCCCCC)C(=O)NCCCCCC*,0.993
P100730,*NC(=O)C(CCCCCCCCCCCCC)C(=O)NCCCCCC*,0.993
P100731,*NC(=O)C(CCCCCCCCCCC)C(=O)NCCCCCC*,1.004
P100746,*NC(=O)C(CCCCCCCCCCCC)C(=O)NCCCCCCCCC*,0.977
P100752,*NC(=O)C(CCCCCCCCCCCC)C(=O)NCCCCCCCC*,0.996
P100753,*NC(=O)C(CCCCCCCCCCCC)C(=O)NCCCCC*,0.996
P100760,*NCCc1ccc(CCNC(=O)CCCCCCCCCCCCCCCC(=O)*)cc1,1.067
P100761,*NCCc1ccc(CCNC(=O)CCCCCCCCCCCCCC(=O)*)cc1,1.075
P100776,*NC(=O)C(CCCCCCCCCCCC)C(=O)NCCCC*,1.005
P100789,*NCc1ccc(CNC(=O)CCCCCCCCCCCCCCCCCCCCC(=O)*)cc1,1.056
P100790,*NCc1ccc(CNC(=O)CCCCCCCCCCCCCCCC(=O)*)cc1,1.08
P100791,*NCc1ccc(CNC(=O)CCCCCCCCCCCCCCC(=O)*)cc1,1.092
P100799,*NC(CCCCNC(=O)OCC1=CC=CC=C1)C(=O)*,1.2425
P100801,*N1CCN(C(=O)C2C(c3ccccc3)C(C(=O)*)C2c4ccccc4)CC1,1.2085
P100802,*NNC(=O)c1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(C(=O)NNC(=O)c4ccc(C(=O)*)cc4)cc3)cc2)cc1,1.51
P100804,*NC(=O)CCCCCCCCCCCCCCCCC*,1.0106666666666666
P100808,*NC(=O)C(CCCCCCCCCCCC)C(=O)NCCCCCCC*,0.987
P100811,*NC(=O)C(Cc1ccccc1)*,1.2046666666666666
P100812,*NC(=O)CCCCC(=O)Nc1cc(C=CC(=O)C=Cc2cc(*)ccc2)ccc1,1.19
P104291,*Nc1ccc(NC(=O)c2cc(C(=O)c3ccc(C(=O)*)cc3)ccc2)cc1,1.31
P104465,*N(C)CCN(C)C(=O)CCCCCCCCC(=O)*,1.278
P104576,*NCCCCCCNC(=O)c1ccc3c(c1)C(C)(c2ccc(C(*)=O)cc2)CC3(C)C,1.121
P110210,*NCCCCCCCCCCCCCNC(=O)CCCCCCCCCCCC(=O)*,1.0309
P130249,*c3ccc(C(=O)NCCNC(=O)c2ccc1c(=O)n(*)c(=O)c1c2)cc3,1.1949999999999998
P130250,*c3ccc(C(=O)NCCCCCCNC(=O)c2ccc1c(=O)n(*)c(=O)c1c2)cc3,1.165
P130251,*c5ccc(C(=O)Nc4ccc(Cc3ccc(NC(=O)c2ccc1c(=O)n(*)c(=O)c1c2)cc3)cc4)cc5,1.28525
P130252,*c5ccc(C(=O)NC4CCC(CC3CCC(NC(=O)c2ccc1c(=O)n(*)c(=O)c1c2)CC3)CC4)cc5,1.2075
